participant_id,frequency,x_drift,y_drift,total_drift,x1,y1,x3,y3
P_20251213_100504,4000,-0.20077902814831494,0.11402265796077139,0.23089691351904407,0.8948520781497219,0.0995706131556086,0.694073050001407,0.21359327111638
P_20251213_100504,1000,0.2701841242983497,-0.2875353983358584,0.3945580645722843,0.4833790081173728,0.4961711625843788,0.7535631324157225,0.2086357642485204
P_20251213_100656,1000,0.022308780905368295,-0.03718130150894727,0.04336047609728207,0.1016509792921815,0.5903637930737118,0.1239597601975498,0.5531824915647645
P_20251213_100656,4000,-0.01735127403750869,-0.0322237946410876,0.03659835586191966,0.52056030962632,0.1094856268913279,0.5032090355888114,0.0772618322502403
P_20251213_100656,200,-0.02230878090536831,0.11898016482863116,0.12105354735872867,0.4908152684191623,0.8109728486934652,0.468506487513794,0.9299530135220964
P_20251213_100918,1000,0.12145891826256083,0.15368271290364843,0.19588426448016866,0.4932940218530921,0.3994997786611161,0.614752940115653,0.5531824915647645
P_20251213_100918,4000,0.007436260301789455,0.027266287773227996,0.02826213750246878,0.694073050001407,0.1194006406270471,0.7015093103031964,0.1466669284002751
P_20251213_100918,200,-0.11402265796077152,-0.01735127403750858,0.11533530786001228,0.3123450211762157,0.9101229860506576,0.1983223632154442,0.892771712013149
P_20251213_101226,200,0.007436260301789399,0.007436260301789566,0.01051646017212733,0.4759427478155834,0.9522617944274644,0.4833790081173728,0.959698054729254
P_20251213_101226,1000,0.00743626030178951,-0.03948799426754712,0.04018208131182113,0.4858577615513026,0.4961711625843788,0.4932940218530921,0.4566831683168317
P_20251213_101226,4000,0.012393767169649073,-0.0099150137357193,0.015871766191415924,0.4858577615513026,0.0202505032698546,0.4982515287209517,0.0103354895341353
P_20251213_102633,1000,-0.16831683168316824,0.3292079207920792,0.36974100521865827,0.7029702970297029,0.1745049504950495,0.5346534653465347,0.5037128712871287
P_20251213_102633,4000,-0.00990099009900991,0.012376237623762304,0.015849317419388186,0.7871287128712872,0.1448019801980198,0.7772277227722773,0.1571782178217821
P_20251213_102633,200,0.3861386138613861,-0.08168316831683153,0.3946836316609399,0.047029702970297,0.959158415841584,0.4331683168316831,0.8774752475247525
P_20251215_074300,1000,0.3668555082216124,0.15368271290364838,0.39774532072415725,0.4932940218530921,0.3449672031146602,0.8601495300747045,0.4986499160183086
P_20251215_074300,4000,0.49822944021989257,0.10658639765898201,0.509502929596824,0.2726849662333387,0.0252080101377142,0.7709144064532313,0.1317944077966962
P_20251215_074300,200,-0.1264164251304205,-0.13633143886613985,0.1859230318332488,0.4511552134762853,0.8778991914095702,0.3247387883458648,0.7415677525434303
P_20251215_081927,4000,0.0,0.0,0.0,0.78826568049074,0.2111145176824502,0.78826568049074,0.2111145176824502
P_20251215_081927,1000,0.2577903571287007,-0.20325778158224478,0.32828279577565217,0.5131240493245306,0.5903637930737118,0.7709144064532313,0.387106011491467
P_20251215_081927,200,0.0,0.0,0.0,0.5131240493245306,0.5903637930737118,0.5131240493245306,0.5903637930737118
P_20251216_201636,1000,-0.08425109778202156,-0.5649779498323806,0.5712252894211493,0.9535792113997668,0.974999979204019,0.8693281136177452,0.4100220293716384
P_20251216_201636,4000,0.32957047073555545,0.1908039567416373,0.38081865118336866,0.2300109598600513,0.1126652136703855,0.5595814305956067,0.3034691704120228
P_20251216_201636,200,-0.3171806034146698,0.05947136314025059,0.32270788372187875,0.8098567504774946,0.8287995448175697,0.4926761470628248,0.8882709079578203
P_20251228_164843,1000,-0.002478753433929781,-0.06196883584824536,0.06201839110274466,0.4660277340798641,0.548224984696905,0.4635489806459343,0.4862561488486596
P_20251228_164843,4000,0.002478753433929781,-0.04709631524466641,0.04716150048727475,0.6742430225299685,0.1590606955699241,0.6767217759638983,0.1119643803252577
P_20251228_164843,200,0.03718130150894727,0.07188384958396454,0.08093044552521185,0.2875574868369175,0.865505424239921,0.3247387883458648,0.9373892738238856
P_20251228_165020,1000,-0.007436260301789455,0.0,0.007436260301789455,0.5056877890227411,0.4565111076415018,0.4982515287209517,0.4565111076415018
P_20251228_165020,200,0.1016288907911223,-0.024787534339298367,0.1046080938649384,0.2255886509886722,0.9299530135220964,0.3272175417797945,0.905165479182798
P_20251228_165020,4000,0.2230878090536832,0.007436260301789496,0.22321171231736156,0.5428690905316884,0.0499955444770123,0.7659568995853716,0.0574318047788018
