task,trial_number,frequency,click_x_px,click_y_px,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics,gender,age,hearing,hobbies
spatial_mapping,3,1000,258.0,97.5,0.6386138613861386,0.2413366336633663,3791,html-keyboard-response,5,2.1.0,63322,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,4,4000,391.0,5.5,0.9678217821782178,0.0136138613861386,2049,html-keyboard-response,7,2.1.0,67377,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,5,4000,391.0,8.5,0.9678217821782178,0.021039603960396,1822,html-keyboard-response,9,2.1.0,71204,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,6,4000,389.0,10.5,0.9628712871287128,0.0259900990099009,1095,html-keyboard-response,11,2.1.0,74303,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,7,200,206.0,342.5,0.5099009900990099,0.8477722772277227,4577,html-keyboard-response,13,2.1.0,80887,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,8,1000,215.0,189.5,0.5321782178217822,0.469059405940594,2777,html-keyboard-response,15,2.1.0,85671,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,9,1000,199.0,184.5,0.4925742574257425,0.4566831683168317,1561,html-keyboard-response,17,2.1.0,89237,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,1,1000,15.61669921875,293.6000061035156,0.0387318917310232,0.7281745962665317,2645,html-keyboard-response,1,2.1.0,32335,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,2,4000,319.61669921875,139.60000610351562,0.7927001228726063,0.3462301633855982,2364,html-keyboard-response,3,2.1.0,36737,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,3,4000,179.61669921875,48.600006103515625,0.4454779111626667,0.1205357257741375,1959,html-keyboard-response,5,2.1.0,40707,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,4,1000,186.61669921875,368.6000061035156,0.4628390217481636,0.9141864953968564,1679,html-keyboard-response,7,2.1.0,44403,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,5,200,130.61669921875,381.6000061035156,0.3239501370641879,0.9464285579127794,2887,html-keyboard-response,9,2.1.0,49299,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,6,4000,197.61669921875,90.60000610351562,0.4901207669539446,0.2247023892871194,4386,html-keyboard-response,11,2.1.0,55691,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,7,200,188.61669921875,386.6000061035156,0.4677993390583057,0.9588293511881344,2302,html-keyboard-response,13,2.1.0,60011,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,8,200,193.61669921875,343.6000061035156,0.4802001323336606,0.8521825290200815,4179,html-keyboard-response,15,2.1.0,66200,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,9,1000,205.61669921875,176.60000610351562,0.5099620361945126,0.4379960336232251,2367,html-keyboard-response,17,2.1.0,70571,P_20251212_220245,"{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}",Vīrietis,24,Nē,"['Sports', 'Videospēles']"
spatial_mapping,1,200,336.0089111328125,338.1696319580078,0.8328832423014766,0.8382391364666931,7807,html-keyboard-response,1,2.1.0,133473,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,2,1000,54.0089111328125,322.1696319580078,0.1338747739332691,0.7985790815238161,3791,html-keyboard-response,3,2.1.0,139303,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,3,200,356.0089111328125,349.1696319580078,0.8824583109800729,0.865505424239921,5471,html-keyboard-response,5,2.1.0,146790,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,4,4000,334.0089111328125,54.16963195800781,0.8279257354336169,0.134273161230626,3479,html-keyboard-response,7,2.1.0,152318,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,5,200,363.0089111328125,353.1696319580078,0.8998095850175816,0.8754204379756403,3495,html-keyboard-response,9,2.1.0,157834,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,6,4000,312.0089111328125,58.16963195800781,0.7733931598871611,0.1441881749663452,3443,html-keyboard-response,11,2.1.0,163292,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,7,1000,51.0089111328125,308.1696319580078,0.1264385136314796,0.7638765334487987,4743,html-keyboard-response,13,2.1.0,170048,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,8,4000,366.0089111328125,35.16963195800781,0.907245845319371,0.0871768459859595,3484,html-keyboard-response,15,2.1.0,175553,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,9,1000,27.0089111328125,341.1696319580078,0.0669484312171641,0.8456753967684826,4150,html-keyboard-response,17,2.1.0,181730,P_20251213_094736,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""other""],""hobbies-Comment"":""dejošana""}",Vīrietis,35,Nē,['other']
spatial_mapping,1,4000,50.0089111328125,176.1696319580078,0.1239597601975498,0.4366810801700633,5621,html-keyboard-response,1,2.1.0,42569,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
spatial_mapping,2,200,194.0089111328125,327.1696319580078,0.480900254683443,0.8109728486934652,5499,html-keyboard-response,3,2.1.0,50115,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
spatial_mapping,3,1000,78.0089111328125,222.1696319580078,0.1933648563475846,0.5507037381308347,7670,html-keyboard-response,5,2.1.0,59817,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
spatial_mapping,4,1000,78.0089111328125,222.1696319580078,0.1933648563475846,0.5507037381308347,3085,html-keyboard-response,7,2.1.0,64932,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
spatial_mapping,5,200,106.0089111328125,309.1696319580078,0.2627699524976194,0.7663552868827285,4679,html-keyboard-response,9,2.1.0,71629,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
spatial_mapping,6,4000,67.0089111328125,195.1696319580078,0.1660985685743567,0.4837773954147297,4076,html-keyboard-response,11,2.1.0,77727,P_20251213_095146,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Mūzika""]}",Sieviete,22,Nē,"['Lasīšana', 'Mūzika']"
