participant_id,frequency,avg_x,avg_y
P_20251228_164843,200,0.25946494791904634,0.9109492371953011
P_20251228_164843,1000,0.4982515287209517,0.5416149755397588
P_20251228_164843,4000,0.7428218675353601,0.10452812002346823
P_20251228_165020,200,0.2569861944851165,0.9274742600881664
P_20251228_165020,1000,0.5065140401673843,0.4416385870379229
P_20251228_165020,4000,0.730428100365711,0.047516791043082506
P_20260327_103730,200,0.7643487521881035,0.8376448675496689
P_20260327_103730,1000,0.2643487521881036,0.7686603200883003
P_20260327_103730,4000,0.5071743592521213,0.08378173289183223
P_20260327_103755,200,0.4304911632411527,0.8001103853810965
P_20260327_103755,1000,0.21084436412415494,0.5923841160654232
P_20260327_103755,4000,0.8896523111440224,0.19713025293076536
P_20260327_104805,200,0.43211917161415214,0.5909561258278146
P_20260327_104805,1000,0.7687637632256313,0.45629828918322285
P_20260327_104805,4000,0.25882998839119403,0.06667356512141276
P_20260327_104824,200,0.09163906611090987,0.8994481337254673
P_20260327_104824,1000,0.6937361963537355,0.9193156833943416
P_20260327_104824,4000,0.7274006555148834,0.13289184233473883
P_20260327_105324,200,0.1700055120270247,0.7554083986261295
P_20260327_105324,1000,0.4740893972367377,0.47671082688220023
P_20260327_105324,4000,0.851572840945347,0.24657837655107442
P_20260327_105647,200,0.3383001870666908,0.8657905629139072
P_20260327_105647,1000,0.7036423504220992,0.2896316225165563
P_20260327_105647,4000,0.21467987801591812,0.27307533112582777
P_20260327_110100,200,0.4431566992079711,0.5710885761589404
P_20260327_110100,1000,0.5733995248150352,0.5120378035320089
P_20260327_110100,4000,0.4718542709519005,0.14007312362030902
P_20260327_111138,200,0.4989238343228304,0.6145695465289994
P_20260327_111138,1000,0.5016832162212852,0.458498906352399
P_20260327_111138,4000,0.5921909424906009,0.25452539641862404
P_20260327_111400,200,0.44704745463188117,0.7239514449837455
P_20260327_111400,1000,0.7621688674354132,0.34315674299699056
P_20260327_111400,4000,0.2704470131307774,0.18035321098816048
P_20260327_111402,200,0.9475717102454988,0.8588369205298013
P_20260327_111402,1000,0.4746136528503553,0.45464266004415005
P_20260327_111402,4000,0.4133553747046599,0.1597199227373068
P_20260327_112200,200,0.5629414943669805,0.6362031006128847
P_20260327_112200,1000,0.4558774767069364,0.3345474714738117
P_20260327_112200,4000,0.710292487744464,0.25154526396829296
P_20260327_112540,200,0.6230683989872207,0.6195433222958058
P_20260327_112540,1000,0.5016555954552118,0.3851062362030904
P_20260327_112540,4000,0.49282557338015653,0.27373758278145693
P_20260327_112643,200,0.3592991102610203,0.7879691050278957
P_20260327_112643,1000,0.49837195794313943,0.349227383173591
P_20260327_112643,4000,0.33501654955461846,0.07770420436564394
P_20260327_112955,200,0.2748344034022316,0.8082850441501104
P_20260327_112955,1000,0.39514345417485847,0.47782146799116987
P_20260327_112955,4000,0.7836644254772868,0.13753449227373069
P_20260327_114616,200,0.2792494144397592,0.8864307395143488
